Mnemonic,Type,Packet,bit_byte
ADGYA2ADCSVY01,U1,APID0009,/0173:5
ADGYA2HRS01,D1,APID0009,/0173:6
ADGYA2OPW01,D1,APID0009,/0173:7
ADGYA2WPI01,D1,APID0009,/0174:0
ADGYA2MAXPW01,D1,APID0009,/0174:1
ADGYA2MINPW01,D1,APID0009,/0174:2
ADGYA2VPI01,D1,APID0009,/0174:3
ADGYA2ADCSAT01,D1,APID0009,/0174:4
ADGYA2VAL01,D1,APID0009,/0174:7
ADGYA3ANG01,U32,APID0009,/0175
ADGYA3ST01,U16,APID0009,/0179
ADGYA3ADCSVY01,U1,APID0009,/0179:5
ADGYA3HRS01,D1,APID0009,/0179:6
ADGYA3OPW01,D1,APID0009,/0179:7
ADGYA3WPI01,D1,APID0009,/0180:0
ADGYA3MAXPW01,D1,APID0009,/0180:1
ADGYA3MINPW01,D1,APID0009,/0180:2
ADGYA3VPI01,D1,APID0009,/0180:3
ADGYA3ADCSAT01,D1,APID0009,/0180:4
ADGYA3VAL01,D1,APID0009,/0180:7
ADGYA4ANG01,U32,APID0009,/0181
ADGYA4ST01,U16,APID0009,/0185
ADGYA4ADCSVY01,U1,APID0009,/0185:5
ADGYA4HRS01,D1,APID0009,/0185:6
ADGYA4OPW01,D1,APID0009,/0185:7
ADGYA4WPI01,D1,APID0009,/0186:0
ADGYA4MAXPW01,D1,APID0009,/0186:1
ADGYA4MINPW01,D1,APID0009,/0186:2
ADGYA4VPI01,D1,APID0009,/0186:3
ADGYA4ADCSAT01,D1,APID0009,/0186:4
ADGYA4VAL01,D1,APID0009,/0186:7
ADGYA1ANG01,U32,APID0065,/0414
ADGYA1ST01,U16,APID0065,/0418
ADGYA2ANG01,U32,APID0065,/0420
ADGYA2ST01,U16,APID0065,/0424
ADGYA3ANG01,U32,APID0065,/0426
ADGYA3ST01,U16,APID0065,/0430
ADGYA4ANG01,U32,APID0065,/0432
ADGYA4ST01,U16,APID0065,/0436
ADGYA1ANG02,U32,APID0065,/0438
ADGYA1ST02,U16,APID0065,/0442
ADGYA2ANG02,U32,APID0065,/0444
ADGYA2ST02,U16,APID0065,/0448
ADGYA3ANG02,U32,APID0065,/0450
ADGYA3ST02,U16,APID0065,/0454
ADGYA4ANG02,U32,APID0065,/0456
ADGYA4ST02,U16,APID0065,/0460
ADGYA1ANG03,U32,APID0065,/0462
ADGYA1ST03,U16,APID0065,/0466
ADGYA2ANG03,U32,APID0065,/0468
ADGYA2ST03,U16,APID0065,/0472
ADGYA3ANG03,U32,APID0065,/0474
ADGYA3ST03,U16,APID0065,/0478
ADGYA4ANG03,U32,APID0065,/0480
ADGYA4ST03,U16,APID0065,/0484
ADGYA1ANG04,U32,APID0065,/0486
ADGYA1ST04,U16,APID0065,/0490
ADGYA2ANG04,U32,APID0065,/0492
ADGYA2ST04,U16,APID0065,/0496
ADGYA3ANG04,U32,APID0065,/0498
ADGYA3ST04,U16,APID0065,/0502
ADGYA4ANG04,U32,APID0065,/0504
ADGYA4ST04,U16,APID0065,/0508
ADGYA1ANG05,U32,APID0065,/0510
ADGYA1ST05,U16,APID0065,/0514
ADGYA2ANG05,U32,APID0065,/0516
ADGYA2ST05,U16,APID0065,/0520
ADGYA3ANG05,U32,APID0065,/0522
ADGYA3ST05,U16,APID0065,/0526
ADGYA4ANG05,U32,APID0065,/0528
ADGYA4ST05,U16,APID0065,/0532
ADGYA1ANG06,U32,APID0065,/0534
ADGYA1ST06,U16,APID0065,/0538
ADGYA2ANG06,U32,APID0065,/0540
ADGYA2ST06,U16,APID0065,/0544
ADGYA3ANG06,U32,APID0065,/0546
ADGYA3ST06,U16,APID0065,/0550
ADGYA4ANG06,U32,APID0065,/0552
ADGYA4ST06,U16,APID0065,/0556
ADGYA1ANG07,U32,APID0065,/0558
ADGYA1ST07,U16,APID0065,/0562
ADGYA2ANG07,U32,APID0065,/0564
ADGYA2ST07,U16,APID0065,/0568
ADGYA3ANG07,U32,APID0065,/0570
ADGYA3ST07,U16,APID0065,/0574
ADGYA4ANG07,U32,APID0065,/0576
ADGYA4ST07,U16,APID0065,/0580
ADGYA1ANG08,U32,APID0065,/0582
ADGYA1ST08,U16,APID0065,/0586
ADGYA2ANG08,U32,APID0065,/0588
ADGYA2ST08,U16,APID0065,/0592
ADGYA3ANG08,U32,APID0065,/0594
ADGYA3ST08,U16,APID0065,/0598
ADGYA4ANG08,U32,APID0065,/0600
ADGYA4ST08,U16,APID0065,/0604
ADGYA1ANG09,U32,APID0065,/0606
ADGYA1ST09,U16,APID0065,/0610
ADGYA2ANG09,U32,APID0065,/0612
ADGYA2ST09,U16,APID0065,/0616
ADGYA3ANG09,U32,APID0065,/0618
ADGYA3ST09,U16,APID0065,/0622
ADGYA4ANG09,U32,APID0065,/0624
ADGYA4ST09,U16,APID0065,/0628
ADGYA1ANG10,U32,APID0065,/0630
ADGYA1ST10,U16,APID0065,/0634
ADGYA2ANG10,U32,APID0065,/0636
ADGYA2ST10,U16,APID0065,/0640
ADGYA3ANG10,U32,APID0065,/0642
ADGYA3ST10,U16,APID0065,/0646
ADGYA4ANG10,U32,APID0065,/0648
ADGYA4ST10,U16,APID0065,/0652
ADGYA1ANG11,U32,APID0065,/0654
ADGYA1ST11,U16,APID0065,/0658
ADGYA2ANG11,U32,APID0065,/0660
ADGYA2ST11,U16,APID0065,/0664
ADGYA3ANG11,U32,APID0065,/0666
ADGYA3ST11,U16,APID0065,/0670
